Job Class,Percentage,Link
Management,6.1,http://careerrocketeer.com/2012/09/starting-your-first-management-position-7-things-to-ensure-success.html
Business and Financial operations,5,https://www.cornerstoneondemand.com/understanding-business-management-operations
Computer and Mathematical,2.7,http://www.careers.org/occupations/field/15/computer-and-mathematical
Architecture and Engineering,1.7,https://collegegrad.com/careers/architects
"Life, Physical and Social Science",0.9,https://datausa.io/profile/soc/190000/
Community and Social Service,1.6,https://www.socialworkguide.org/
Legal,0.8,https://www.lawcrossing.com/article/318/Legal-Staffers-Sound-Off/
"Education, training and library",6.1,https://www.bls.gov/ooh/education-training-and-library/librarians.htm
"Arts, design, entertainment, sports and media",1.7,http://www.careers.org/occupations/field/27/arts-design-entertainment-sports-and-media
Healthcare practioners and technical,5.5,http://www.careers.org/occupations/field/29/healthcare-practitioners-and-technical
Healthcare support,2.8,http://www.rasmussen.edu/degrees/health-sciences/blog/entry-level-healthcare-jobs-little-experience/
Protective service,2.3,https://www.bls.gov/ooh/protective-service/home.htm
Food preparation and serving,8.3,https://collegegrad.com/careers/food-preparation-and-serving
Building and grounds cleaning and maintenance,3.7,http://www.rasmussen.edu/degrees/health-sciences/blog/entry-level-healthcare-jobs-little-experience/
Personal care and service,4,http://www.careers.org/occupations/field/39/personal-care-and-service
Sales,10.2,https://www.bls.gov/ooh/sales/home.htm
Office and administrative support,15.1,http://www.careers.org/occupations/field/43/office-and-administrative-support
"Farming, fishing and forestry",0.6,https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,https://collegegrad.com/careers/construction-and-extraction
"Installation, maintenance and repair",3.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,http://www.careers.org/occupations/field/51/production
Transportation and material moving,6.5,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8,google.com
